"","Item_Number","Set_Name","Amazon_Price","Year","Pages","unique_pieces","Theme","Pieces","Price","Ages","Minifigures","Packaging","Weight","Availability","Size"
"1399","76150","Spiderjet vs. Venom Mech",NA,2020,NA,"136","Marvel Super Heroes","371",NA,"Ages_7+","3,","Box","0.52Kg (1.15 lb)","Retail","Small"
"1400","76151","Venomosaurus Ambush",NA,2020,NA,"242","Marvel Super Heroes","640",NA,"Ages_8+","5,","Box","0.85Kg (1.87 lb)","Retail","Small"
"1401","76152","Avengers Wrath of Loki",NA,2020,NA,"136","Marvel Super Heroes","223",NA,"Ages_4+","5,","Box","0.7Kg (1.54 lb)","Retail","Small"
"1402","76153","Avengers Helicarrier",NA,2020,NA,"355","Marvel Super Heroes","1244",NA,"Ages_9+","8,","Box","1.65Kg (3.63 lb)","Retail","Small"
"1403","76154","Deviant Ambush!","182.85 Kr",2021,NA,"75","Marvel Super Heroes","197",NA,"Ages_NA","3,","Box","0Kg (0 lb)","Retail","Small"
"1404","76155","In Arishem's Shadow","602.72 Kr*",2021,NA,"152","Marvel Super Heroes","493",NA,"Ages_7+","4,","Box","0Kg (0 lb)","Retail","Small"
"1405","76156","Rise of the Domo","-",2021,NA,"256","Marvel Super Heroes","1040",NA,"Ages_NA","6,","Box","0Kg (0 lb)","Retail","Small"
"1406","76157","Wonder Woman vs. Cheetah",NA,2020,NA,"130","DC Comics Super Heroes","371",NA,"Ages_8+","3,","Box","0.6Kg (1.32 lb)","Retail","Small"
"1407","76158","Batboat The Penguin Pursuit!",NA,2020,NA,"41","DC Comics Super Heroes","54",NA,"Ages_4+","2,","Box","0.16Kg (0.35 lb)","Retail","Small"
"1408","76159","Joker's Trike Chase",NA,2020,NA,"181","DC Comics Super Heroes","440",NA,"Ages_7+","4","Box","0.68Kg (1.5 lb)","Retail","Small"
"1409","76160","Mobile Bat Base",NA,2020,NA,"275","DC Comics Super Heroes","743",NA,"Ages_8+","6,","Box","1.23Kg (2.71 lb)","Retail","Small"
"1410","76161","1989 Batwing",NA,2020,NA,"325","DC Comics Super Heroes","2363",NA,"Ages_18+","3,","Box","NA","LEGO exclusive","Small"
"1411","76162","Black Widow's Helicopter Chase",NA,2020,NA,"125","Marvel Super Heroes","271",NA,"Ages_NA","3,","Box","NA","Retail - limited","Small"
"1412","76163","Venom Crawler",NA,2020,NA,"132","Marvel Super Heroes","413",NA,"Ages_NA","3,","NA","NA","NA","Small"
"1413","76164","Iron Man Hulkbuster versus A.I.M. Agent",NA,2020,NA,"144","Marvel Super Heroes","456",NA,"Ages_8+","4,","Box","0.49Kg (1.08 lb)","Retail","Small"
"1414","76165","Iron Man Helmet",NA,2020,NA,"123","Marvel Super Heroes","480",NA,"Ages_18+",NA,"Box","0.73Kg (1.61 lb)","Retail","Small"
"1415","76166","Avengers Tower Battle",NA,2020,NA,"250","Marvel Super Heroes","685",NA,"Ages_8+","7,","Box","1.23Kg (2.71 lb)","Retail","Small"
"1416","76167","Iron Man Armory",NA,2020,NA,"112","Marvel Super Heroes","258",NA,"Ages_7+","5,","Box","NA","Retail","Small"
"1417","76168","Captain America Mech Armor","-",2021,NA,"55","Marvel Super Heroes","121",NA,"Ages_7+","1,","Box","NA","Retail","Small"
"1418","76169","Thor Mech Armor","-",2021,NA,"67","Marvel Super Heroes","139",NA,"Ages_7+","1,","Box","NA","Retail","Small"
"1419","76170","Iron Man vs. Thanos","-",2021,NA,"51","Marvel Super Heroes","103",NA,"Ages_4+","2","Box","NA","Retail","Small"
"1420","76171","Miles Morales Mech Armor","566.02 Kr",2021,NA,"61","Marvel Super Heroes","125",NA,"Ages_7+","1","Box","NA","Retail","Small"
"1421","76172","Spider-Man and Sandman Showdown","-",2021,NA,"28","Marvel Super Heroes","45",NA,"Ages_4+","2","Box","NA","Retail","Small"
"1422","76173","Spider-Man and Ghost Rider vs. Carnage","-",2021,NA,"82","Marvel Super Heroes","212",NA,"Ages_7+","3,","Box","NA","Retail","Small"
"1423","76174","Spider-Man's Monster Truck vs. Mysterio","-",2021,NA,"137","Marvel Super Heroes","439",NA,"Ages_8+","4,","Box","NA","Retail","Small"
"1424","76175","Attack on the Spider Lair","-",2021,NA,"178","Marvel Super Heroes","466",NA,"Ages_8+","6,","Box","NA","Retail","Small"
"1425","76176","Escape from The Ten Rings","-",2021,NA,"130","Marvel Super Heroes","321",NA,"Ages_7+","4,","Box","NA","Retail","Small"
"1426","76177","Battle at the Ancient Village","-",2021,NA,"123","Marvel Super Heroes","400",NA,"Ages_8+","4,","Box","NA","Retail","Small"
"1427","76178","Daily Bugle",NA,2021,NA,"682","Marvel Super Heroes","3772",NA,"Ages_18+","25,","Box","NA","LEGO exclusive","Small"
"1428","76179","Batman & Selina Kyle Motorcycle Pursuit","-",2022,NA,"83","DC Comics Super Heroes","149",NA,"Ages_NA","2","Box","NA","Retail","Small"
