"","Item_Number","Set_Name","Amazon_Price","Year","Pages","unique_pieces","Theme","Pieces","Price","Ages","Minifigures","Packaging","Weight","Availability","Size"
"1","10270","Bookshop",NA,2020,NA,"562","Creator Expert","2504",NA,"Ages_16+","5,","Box","2.95Kg (6.49 lb)","LEGO exclusive","Small"
"2","10271","Fiat 500",NA,2020,NA,"269","Creator Expert","960",NA,"Ages_16+",NA,"Box","1.11Kg (2.44 lb)","LEGO exclusive","Small"
"3","10272","Old Trafford - Manchester United",NA,2020,NA,"333","Creator Expert","3898",NA,"Ages_16+",NA,"Box","NA","LEGO exclusive","Small"
"4","10273","Haunted House",NA,2020,NA,"467","Icons","3231",NA,"Ages_18+","10,","Box","NA","LEGO exclusive","Small"
"5","10274","Ghostbusters ECTO-1",NA,2020,NA,"569","Icons","2352",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"6","10275","Elf Club House",NA,2020,NA,"377","Icons","1197",NA,"Ages_18+","4,","Box","1.32Kg (2.92 lb)","LEGO exclusive","Small"
"7","10276","Colosseum",NA,2020,NA,"220","Icons","9036",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"8","10277","Crocodile Locomotive",NA,2020,NA,"212","Icons","1271",NA,"Ages_18+","2,","Box","1.54Kg (3.39 lb)","LEGO exclusive","Small"
"9","10278","Police Station","-",2021,NA,"580","Icons","2923",NA,"Ages_18+","5,","Box","4.01Kg (8.84 lb)","LEGO exclusive","Small"
"10","10279","Volkswagen T2 Camper Van",NA,2021,NA,"535","Icons","2207",NA,"Ages_18+",NA,"Box","2.94Kg (6.49 lb)","LEGO exclusive","Small"
"11","10280","Flower Bouquet","497.69 Kr",2021,NA,"81","Icons","756",NA,"Ages_18+",NA,"Box","0.76Kg (1.67 lb)","Retail","Small"
"12","10281","Bonsai Tree","518.27 Kr",2021,NA,"92","Icons","878",NA,"Ages_18+",NA,"Box","0.76Kg (1.67 lb)","Retail","Small"
"13","10282","Adidas Originals Superstar","-",2021,NA,"212","Icons","731",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"14","10283","NASA Space Shuttle Discovery","-",2021,NA,"519","Icons","2354",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"15","10284","Camp Nou - FC Barcelona","4164 Kr",2021,NA,"214","Icons","5509",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"16","10289","Bird of Paradise","1354 Kr*",2021,NA,"95","Icons","1173",NA,"Ages_18+",NA,"Box","1.36Kg (3 lb)","Retail","Small"
"17","10290","Pickup Truck","1354 Kr",2021,NA,"377","Icons","1677",NA,"Ages_18+",NA,"Box","1.98Kg (4.36 lb)","LEGO exclusive","Small"
"18","10291","Queer Eye – The Fab 5 Loft","-",2021,NA,"318","Icons","974",NA,"Ages_18+","7,","Box","NA","LEGO exclusive","Small"
"19","10292","The Friends Apartments","-",2021,NA,"536","Icons","2048",NA,"Ages_18+","7,","Box","2.74Kg (6.03 lb)","LEGO exclusive","Small"
"20","10293","Santa's Visit","-",2021,NA,"402","Icons","1445",NA,"Ages_18+","4,","Box","1.66Kg (3.65 lb)","LEGO exclusive","Small"
"21","10294","Titanic",NA,2021,NA,"690","Icons","9090",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"22","10295","Porsche 911","-",2021,NA,"382","Icons","1458",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"23","10297","Boutique Hotel","-",2022,NA,"662","Icons","3066",NA,"Ages_18+","7,","Box","3.47Kg (7.65 lb)","LEGO exclusive","Small"
"24","10298","Vespa 125","-",2022,NA,"339","Icons","1106",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"25","10299","Real Madrid - Santiago Bernabéu Stadium","-",2022,NA,"334","Icons","5876",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"26","10300","Back to the Future Time Machine","-",2022,NA,"471","Icons","1872",NA,"Ages_18+","2,","Box","NA","LEGO exclusive","Small"
"27","10301","{?}",NA,2022,NA,NA,"Icons","NA",NA,"Ages_NA",NA,"NA","NA","NA","Small"
"28","10302","Optimus Prime","1321 Kr",2022,NA,"354","Icons","1508",NA,"Ages_18+",NA,"Box","1.7Kg (3.75 lb)","LEGO exclusive","Small"
"29","10303","Loop Coaster",NA,2022,NA,"524","Icons","3756",NA,"Ages_18+","11,","Box","5.83Kg (12.84 lb)","LEGO exclusive","Small"
"30","10304","Chevrolet Camaro Z/28 1969",NA,2022,NA,"367","Icons","1456",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"31","10305","Lion Knights' Castle",NA,2022,NA,"816","Icons","4514",NA,"Ages_18+","22,","Box","NA","LEGO exclusive","Small"
"32","10306","Atari 2600",NA,2022,NA,"451","Icons","2532",NA,"Ages_18+","1,","Box","NA","LEGO exclusive","Small"
"33","10307","Eiffel Tower",NA,2022,NA,"277","Icons","10001",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"34","10308","Holiday Main Street",NA,2022,NA,"447","Icons","1514",NA,"Ages_18+","6,","Box","1.74Kg (3.83 lb)","LEGO exclusive","Small"
"35","10309","Succulents","528.23 Kr",2022,NA,"125","Icons","771",NA,"Ages_18+",NA,"Box","0.68Kg (1.5 lb)","Retail","Small"
"36","10310","{?}",NA,2022,NA,NA,"Icons","NA",NA,"Ages_NA",NA,"NA","NA","NA","Small"
"37","10311","Orchid","482.18 Kr",2022,NA,"81","Icons","608",NA,"Ages_18+",NA,"Box","0.76Kg (1.67 lb)","Retail","Small"
"38","10312",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"39","10313",NA,"554.50 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"40","10314",NA,"494.84 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"41","10316",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"42","10411",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"43","10497","Galaxy Explorer",NA,2022,NA,"292","Icons","1254",NA,"Ages_18+","5,","Box","1.76Kg (3.87 lb)","Retail","Small"
"44","10772","Mickey Mouse's Propeller Plane","-",2021,NA,"41","Disney","59",NA,"Ages_4+","1,","Box","0.13Kg (0.29 lb)","Retail","Small"
"45","10773","Minnie Mouse's Ice Cream Shop","-",2021,NA,"72","Disney","100",NA,"Ages_4+","2,","Box","0.3Kg (0.66 lb)","Retail","Small"
"46","10774","Mickey Mouse & Minnie Mouse's Space Rocket","457.12 Kr*",2021,NA,"61","Disney","88",NA,"Ages_4+","2,","Box","0.34Kg (0.74 lb)","Retail","Small"
"47","10775","Mickey Mouse & Donald Duck's Farm","-",2021,NA,"76","Disney","118",NA,"Ages_4+","2,","Box","NA","Retail","Small"
"48","10776","Mickey & Friends Fire Truck & Station","465.92 Kr",2021,NA,"91","Disney","144",NA,"Ages_4+","3,","Box","0.5Kg (1.1 lb)","Retail","Small"
"49","10777","Mickey and Minnie's Camping Trip","-",2022,NA,"63","Disney","103",NA,"Ages_4+","2,","Box","0.28Kg (0.61 lb)","Retail","Small"
"50","10778","Mickey, Minnie and Goofy's Fairground Fun","-",2022,NA,"105","Disney","184",NA,"Ages_4+","3,","Box","0.61Kg (1.35 lb)","Retail","Small"
"51","10780","Mickey and Friends Castle Defenders","801.15 Kr",2022,NA,"129","Disney","215",NA,"Ages_4+","4,","Box","0.68Kg (1.49 lb)","Retail","Small"
"52","10781","Spider-Man's Techno Trike","67.72 Kr",2022,NA,"40","Marvel Super Heroes","59",NA,"Ages_4+","2","Box","NA","Retail","Small"
"53","10782","Hulk vs. Rhino Truck Showdown","157.11 Kr",2022,NA,"70","Marvel Super Heroes","110",NA,"Ages_4+","3,","Box","NA","Retail","Small"
"54","10783","Spider-Man at Doc Ock's Lab","-",2022,NA,"77","Marvel Super Heroes","131",NA,"Ages_4+","3,","Box","NA","Retail","Small"
"55","10784","Spider-Man Webquarters Hangout","-",2022,NA,"95","Marvel Super Heroes","155",NA,"Ages_4+","5,","Box","NA","Retail","Small"
"56","10785",NA,"128.60 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"57","10786",NA,"236.96 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"58","10787",NA,"358.86 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"59","10788",NA,"778.93 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"60","10789",NA,"108.29 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"61","10790",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"62","10791",NA,"433.42 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"63","10909","Heart Box",NA,2020,NA,"39","Duplo","80",NA,"Ages_1+",NA,"Box","0.94Kg (2.07 lb)","Retail","Large"
"64","10913","Brick Box",NA,2020,NA,"46","Duplo","65",NA,"Ages_1+","2","Tag","1.01Kg (2.22 lb)","Retail","Large"
"65","10914","Deluxe Brick Box",NA,2020,NA,"58","Duplo","85",NA,"Ages_1+","2","Tub","1.42Kg (3.13 lb)","Retail","Large"
"66","10915","Alphabet Truck",NA,2020,NA,"35","Duplo","36",NA,"Ages_1+","2","Box","0.85Kg (1.87 lb)","Retail","Large"
"67","10917","Fire Truck",NA,2020,NA,"6","Duplo","6",NA,"Ages_1+",NA,"Box with backing card","0.15Kg (0.33 lb)","Retail","Large"
"68","10918","Tow Truck",NA,2020,NA,"7","Duplo","7",NA,"Ages_1+",NA,"Box with backing card","0.15Kg (0.33 lb)","Retail","Large"
"69","10919","Batcave",NA,2020,NA,"25","Duplo","33",NA,"Ages_2+","3,","Box","0.5Kg (1.1 lb)","Retail","Large"
"70","10920","Elsa and Olaf's Tea Party",NA,2020,NA,"13","Duplo","17",NA,"Ages_2+","2","Box","0.24Kg (0.53 lb)","Retail","Large"
"71","10921","Super Heroes Lab",NA,2020,NA,"23","Duplo","30",NA,"Ages_2+","3,","Box","0.47Kg (1.04 lb)","Retail","Large"
"72","10922","Ariel's Undersea Castle",NA,2020,NA,"27","Duplo","35",NA,"Ages_2+","1,","Box","0.58Kg (1.28 lb)","Retail","Large"
"73","10924","Lightning McQueen's Race Day",NA,2020,NA,"32","Duplo","42",NA,"Ages_2+","2,","Box","0.69Kg (1.52 lb)","Retail","Large"
"74","10925","Playroom",NA,2020,NA,"16","Duplo","17",NA,"Ages_2+","2,","Box","0.4Kg (0.88 lb)","Retail","Large"
"75","10926","Bedroom",NA,2020,NA,"16","Duplo","16",NA,"Ages_2+","2","Box","0.38Kg (0.84 lb)","Retail","Large"
"76","10927","Pizza Stand",NA,2020,NA,"15","Duplo","18",NA,"Ages_2+","1","Box","0.26Kg (0.57 lb)","Retail","Large"
"77","10928","Bakery",NA,2020,NA,"33","Duplo","46",NA,"Ages_2+","2","Box","0.82Kg (1.81 lb)","Retail","Large"
"78","10929","Modular Playhouse",NA,2020,NA,"56","Duplo","129",NA,"Ages_2+","3","Box","2.2Kg (4.85 lb)","Retail","Large"
"79","10930","Bulldozer",NA,2020,NA,"10","Duplo","10",NA,"Ages_2+","1","Box","0.22Kg (0.48 lb)","Retail","Large"
"80","10931","Truck & Tracked Excavator",NA,2020,NA,"19","Duplo","20",NA,"Ages_2+","2","Box","0.58Kg (1.28 lb)","Retail","Large"
"81","10932","Wrecking Ball Demolition",NA,2020,NA,"41","Duplo","56",NA,"Ages_2+","3,","Box","NA","Retail","Large"
"82","10933","Tower Crane & Construction",NA,2020,NA,"72","Duplo","123",NA,"Ages_2+","5,","Box","NA","Retail","Large"
"83","10934","Creative Animals",NA,2020,NA,"89","Duplo","175",NA,"Ages_NA",NA,"Box","NA","Retail","Large"
"84","10935",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"85","10938","Dinosaur Nursery","176.01 Kr",2022,NA,"19","Duplo","27",NA,"Ages_2+","1,","Box","0.37Kg (0.81 lb)","Retail","Large"
"86","10939","T. rex and Triceratops Dinosaur Breakout","-",2021,NA,"20","Duplo","36",NA,"Ages_2+","1,","Box","0.61Kg (1.35 lb)","Retail","Large"
"87","10940","Spider-Man Headquarters","474.05 Kr*",2021,NA,"27","Duplo","36",NA,"Ages_2+","3,","Box","NA","Retail","Large"
"88","10941","Mickey & Minnie Birthday Train","-",2021,NA,"21","Duplo","22",NA,"Ages_2+","2","Box","NA","Retail","Large"
"89","10942","Minnie's House and Cafe","-",2021,NA,"49","Duplo","91",NA,"Ages_2+","2,","Box","NA","Retail","Large"
"90","10943","Happy Childhood Moments","-",2021,NA,"91","Duplo","227",NA,"Ages_2+","7,","Box","NA","Retail","Large"
"91","10944","Space Shuttle Mission","157.11 Kr",2021,NA,"19","Duplo","23",NA,"Ages_NA","2,","NA","NA","NA","Large"
"92","10945","Garbage Truck and Recycling","-",2021,NA,"19","Duplo","19",NA,"Ages_2+","2,","Box","NA","Retail","Large"
"93","10946","Family Camping Van Adventure","-",2021,NA,"20","Duplo","30",NA,"Ages_2+","4,","Box","NA","Retail","Large"
"94","10947","Race Cars","-",2021,NA,"32","Duplo","44",NA,"Ages_2+","2,","Box","NA","Retail","Large"
"95","10948","Parking Garage and Car Wash","-",2021,NA,"56","Duplo","112",NA,"Ages_2+","4,","Box","NA","Retail","Large"
"96","10949","Farm Animal Care","67.72 Kr",2021,NA,"11","Duplo","11",NA,"Ages_NA",NA,"Box","NA","Retail","Large"
"97","10950","Farm Tractor & Animal Care","-",2021,NA,"23","Duplo","27",NA,"Ages_NA","2,","Box","NA","Retail","Large"
"98","10951","Horse Stable and Pony Care","-",2021,NA,"35","Duplo","65",NA,"Ages_NA","2,","Box","NA","Retail","Large"
"99","10952","Barn, Tractor & Farm Animal Care","-",2021,NA,"57","Duplo","97",NA,"Ages_NA","4,","Box","NA","Retail","Large"
"100","10953","Unicorn","-",2021,NA,"8","Duplo","8",NA,"Ages_2+",NA,"Box","NA","Retail","Large"
"101","10954","Number Train - Learn To Count","148.99 Kr",2021,NA,"23","Duplo","23",NA,"Ages_NA","2","Box","NA","Retail","Large"
"102","10955","Animal Train","-",2021,NA,"15","Duplo","15",NA,"Ages_2+",NA,"Box","NA","Retail","Large"
"103","10956","Amusement Park","-",2021,NA,"72","Duplo","95",NA,"Ages_2+","7","Box","NA","Retail","Large"
"104","10957","Fire Helicopter & Police Car","-",2021,NA,"12","Duplo","14",NA,"Ages_2+",NA,"Box","NA","Retail","Large"
"105","10958","Creative Birthday Party","-",2021,NA,"67","Duplo","200",NA,"Ages_2+","2","Box","NA","Retail","Large"
"106","10959","Police Station & Helicopter","-",2022,NA,"29","Duplo","40",NA,"Ages_2+","2,","Box","NA","Retail","Large"
"107","10960","Belle's Ballroom","121.70 Kr",2022,NA,"17","Duplo","23",NA,"Ages_2+","4,","Box","NA","Retail","Large"
"108","10961","Airplane & Airport","-",2021,NA,"25","Duplo","28",NA,"Ages_2+","3,","Box","NA","Retail","Large"
"109","10962","Buzz Lightyear's Planetary Mission","270.89 Kr",2022,NA,"28","Duplo","37",NA,"Ages_NA","1,","Box","NA","Retail","Large"
"110","10963","Spider-Man & Friends: Funfair Adventure","-",2022,NA,"34","Duplo","41",NA,"Ages_2+","4,","Box","NA","Retail","Large"
"111","10964","Bath Time Fun: Floating Red Panda","-",2022,NA,"5","Duplo","5",NA,"Ages_NA",NA,"Box","NA","Retail","Large"
"112","10965","Bath Time Fun: Floating Animal Train","128.67 Kr",2022,NA,"14","Duplo","14",NA,"Ages_NA",NA,"Box","NA","Retail","Large"
"113","10966","Bath Time Fun: Floating Animal Island","235.87 Kr",2022,NA,"19","Duplo","20",NA,"Ages_NA",NA,"Box","NA","Retail","Large"
"114","10967","Police Motorcycle","67.72 Kr",2022,NA,"5","Duplo","5",NA,"Ages_2+","1,","Box","NA","Retail","Large"
"115","10968","Doctor Visit","-",2022,NA,"24","Duplo","34",NA,"Ages_2+","3,","Box","NA","Retail","Large"
"116","10969","Fire Truck","264.11 Kr",2022,NA,"20","Duplo","21",NA,"Ages_2+","1,","Box","NA","Retail","Large"
"117","10970","Fire Station & Helicopter","-",2022,NA,"49","Duplo","117",NA,"Ages_2+","2,","Box","NA","Retail","Large"
"118","10971","Wild Animals of Africa","81.27 Kr",2022,NA,"10","Duplo","10",NA,"Ages_2+",NA,"Box","NA","Retail","Large"
"119","10972","Wild Animals of the Ocean","156.37 Kr",2022,NA,"24","Duplo","32",NA,"Ages_2+",NA,"Box","NA","Retail","Large"
"120","10973","Wild Animals of South America","428.00 Kr",2022,NA,"42","Duplo","71",NA,"Ages_2+",NA,"Box","NA","Retail","Large"
"121","10974","Wild Animals of Asia","744.94 Kr",2022,NA,"49","Duplo","118",NA,"Ages_2+",NA,"Box","NA","Retail","Large"
"122","10975","Wild Animals of the World","1212 Kr",2022,NA,"74","Duplo","143",NA,"Ages_2+",NA,"Box","NA","Retail","Large"
"123","10976","Santa's Gingerbread House","-",2022,NA,"37","Duplo","50",NA,"Ages_2+","3,","Box","0.79Kg (1.73 lb)","Retail","Large"
"124","10977","My First Puppy & Kitten with Sounds","-",2022,NA,"21","Duplo","22",NA,"Ages_NA",NA,"Box","NA","Retail","Large"
"125","10978","Creative Building Time","-",2022,NA,"59","Duplo","120",NA,"Ages_NA",NA,"Box","NA","Retail","Large"
"126","10979","Wild Animals of Europe","-",2022,NA,"49","Duplo","85",NA,"Ages_2+",NA,"Box","NA","Retail","Large"
"127","10980","DUPLO Green Building Plate","121.90 Kr",2022,NA,"1","Duplo","1",NA,"Ages_2+",NA,"NA","NA","Retail","Large"
"128","10981",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"129","10982",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"130","10983",NA,"210.88 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"131","10984",NA,"399.56 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"132","10985",NA,"65.01 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"133","10986",NA,"156.37 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"134","10987",NA,"182.85 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"135","10990",NA,"467.28 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"136","10993",NA,"812.66 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"137","10994",NA,"1392 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"138","10995",NA,"211.29 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"139","10996",NA,"264.11 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"140","10997",NA,"428.00 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"141","10998",NA,"968.35 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"142","11006","Creative Blue Bricks",NA,2020,NA,"28","Classic","52",NA,"Ages_4+",NA,"Box","0.08Kg (0.18 lb)","Retail","Small"
"143","11007","Creative Green Bricks",NA,2020,NA,"36","Classic","60",NA,"Ages_4+",NA,"Box","0.08Kg (0.18 lb)","Retail","Small"
"144","11008","Bricks and Houses",NA,2020,NA,"121","Classic","270",NA,"Ages_4+",NA,"Box","0.47Kg (1.04 lb)","Retail","Small"
"145","11009","Bricks and Lights",NA,2020,NA,"173","Classic","441",NA,"Ages_5+",NA,"Box","NA","Retail","Small"
"146","11010","White Baseplate",NA,2020,NA,"1","Classic","1",NA,"Ages_4+",NA,"Shrink-wrapped","0.1Kg (0.22 lb)","Retail","Small"
"147","11011","Bricks and Animals",NA,2020,NA,"339","Classic","1500",NA,"Ages_4+",NA,"Box","NA","Retail","Small"
"148","11012","Creative White Bricks","54.11 Kr",2021,NA,"42","Classic","60",NA,"Ages_4+",NA,"Box","NA","Retail","Small"
"149","11013","Creative Transparent Bricks","257.14 Kr",2021,NA,"240","Classic","500",NA,"Ages_4+",NA,"Box","NA","Retail","Small"
"150","11014","Bricks and Wheels","-",2021,NA,"306","Classic","653",NA,"Ages_4+",NA,"Box","NA","Retail","Small"
"151","11015","Around the World",NA,2021,NA,"356","Classic","950",NA,"Ages_4+",NA,"Box","NA","Retail","Small"
"152","11016","Creative Building Bricks",NA,2021,NA,"341","Classic","1200",NA,"Ages_4+",NA,"Box","NA","Retail","Small"
"153","11017","Creative Monsters","67.72 Kr",2022,NA,"80","Classic","140",NA,"Ages_4+",NA,"Box","NA","Retail","Small"
"154","11018","Creative Ocean Fun","148.99 Kr",2022,NA,"149","Classic","333",NA,"Ages_4+",NA,"Box","NA","Retail","Small"
"155","11019","Bricks and Functions","361.63 Kr",2022,NA,"227","Classic","500",NA,"Ages_5+",NA,"Box","NA","Retail","Small"
"156","11020","Build Together","-",2022,NA,"495","Classic","1601",NA,"Ages_5+",NA,"Box","NA","Retail","Small"
"157","11021","90 Years of Play","-",2022,NA,"281","Classic","1100",NA,"Ages_5+",NA,"Box","NA","Retail","Small"
"158","11022","Space Mission",NA,2022,NA,"281","Classic","1700",NA,"Ages_5+",NA,"Box","NA","Retail","Small"
"159","11023","Green Baseplate","67.72 Kr",2022,NA,"1","Classic","1",NA,"Ages_4+",NA,"Shrink-wrapped","NA","Retail","Small"
"160","11024","Gray Baseplate","121.90 Kr",2022,NA,"1","Classic","1",NA,"Ages_4+",NA,"Shrink-wrapped","NA","Retail","Small"
"161","11025","Blue Baseplate","65.01 Kr",2022,NA,"1","Classic","1",NA,"Ages_4+",NA,"Shrink-wrapped","NA","Retail","Small"
"162","11026","White Baseplate","65.01 Kr",2022,NA,"1","Classic","1",NA,"Ages_4+",NA,"Shrink-wrapped","NA","Retail","Small"
"163","11027",NA,"135.44 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"164","11028",NA,"148.99 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"165","11029",NA,"480.76 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"166","11030",NA,"482.18 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"167","11031",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"168","11717","Bricks Bricks Plates",NA,2020,NA,"332","Classic","1504",NA,"Ages_4 - 99",NA,"Box","NA","Retail","Small"
"169","11931","Parts for Cute Ideas",NA,2020,NA,"17","Miscellaneous","35",NA,"Ages_7+",NA,"Polybag","NA","NA","Small"
"170","11933","Epic History parts",NA,2020,NA,"32","Miscellaneous","53",NA,"Ages_6+",NA,"Polybag","NA","NA","Small"
"171","11934","Parts for Jurassic World Build Your Own Adventure",NA,2020,NA,"41","Jurassic World","63",NA,"Ages_NA","1","Polybag","NA","NA","Small"
"172","11936","Parts for City: Build your own Adventure",NA,2020,NA,NA,"City","NA",NA,"Ages_NA",NA,"Polybag","NA","NA","Small"
"173","11956","Parts for Super Nature",NA,2021,NA,"25","Miscellaneous","51",NA,"Ages_6+",NA,"Polybag","NA","NA","Small"
"174","11957","Parts for {LEGO Build Book}",NA,2021,NA,"17","Miscellaneous","32",NA,"Ages_NA",NA,"Polybag","NA","NA","Small"
"175","11960","Parts for Party Ideas",NA,2022,NA,"9","Miscellaneous","25",NA,"Ages_NA",NA,"Polybag","NA","Retail - limited","Small"
"176","2000458","Spike Essential Introductory Set",NA,2021,NA,"40","Education","108",NA,"Ages_NA","1","NA","NA","NA","Small"
"177","2000461","Discover More",NA,2020,NA,NA,"Education","12",NA,"Ages_4+",NA,"Box","NA","Educational","Small"
"178","2000470","BricQ Motion Prime Personal Learning Kit",NA,2021,NA,"37","Education","78",NA,"Ages_NA",NA,"Box","NA","Educational","Small"
"179","2000471","BricQ Motion Essential Personal Learning Kit",NA,2021,NA,"44","Education","62",NA,"Ages_NA","2,","Box","NA","Educational","Small"
"180","21051","Tokyo",NA,2020,NA,"147","Architecture","547",NA,"Ages_16+",NA,"Box","0.58Kg (1.28 lb)","Retail - limited","Small"
"181","21052","Dubai",NA,2020,NA,"127","Architecture","740",NA,"Ages_16+",NA,"Box","0.59Kg (1.3 lb)","Retail - limited","Small"
"182","21054","The White House",NA,2020,NA,"180","Architecture","1483",NA,"Ages_18+",NA,"Box","1.57Kg (3.46 lb)","Retail - limited","Small"
"183","21056","Taj Mahal","1009 Kr",2021,NA,"151","Architecture","2022",NA,"Ages_18+",NA,"Box","NA","Retail","Small"
"184","21057","Singapore","507.91 Kr",2022,NA,"150","Architecture","827",NA,"Ages_18+",NA,"Box","NA","Retail","Small"
"185","21058","The Great Pyramid of Giza","-",2022,NA,"238","Architecture","1476",NA,"Ages_18+",NA,"Box","NA","Retail","Small"
"186","21156","BigFig Creeper and Ocelot",NA,2020,NA,"65","Minecraft","184",NA,"Ages_7+",NA,"Box","0.16Kg (0.35 lb)","Retail","Small"
"187","21157","BigFig Pig with Baby Zombie",NA,2020,NA,"47","Minecraft","159",NA,"Ages_7+",NA,"Box","0.17Kg (0.37 lb)","Retail","Small"
"188","21158","The Panda Nursery",NA,2020,NA,"76","Minecraft","204",NA,"Ages_7+","1","Box","0.32Kg (0.7 lb)","Retail","Small"
"189","21159","The Pillager Outpost",NA,2020,NA,"94","Minecraft","303",NA,"Ages_8+","4,","Box","0.47Kg (1.04 lb)","Retail","Small"
"190","21160","The Illager Raid",NA,2020,NA,"187","Minecraft","562",NA,"Ages_8+","5,","Box","0.84Kg (1.85 lb)","Retail","Small"
"191","21161","The Crafting Box 3.0",NA,2020,NA,"128","Minecraft","564",NA,"Ages_8+","4","Box","1.3Kg (2.86 lb)","Retail","Small"
"192","21162","The Taiga Adventure",NA,2020,NA,"48","Minecraft","74",NA,"Ages_7+","2,","Box","0.1Kg (0.22 lb)","Retail","Small"
"193","21163","The Redstone Battle",NA,2020,NA,"134","Minecraft","504",NA,"Ages_8+","4,","Box","0.65Kg (1.43 lb)","Retail","Small"
"194","21164","The Coral Reef","108.29 Kr",2021,NA,"61","Minecraft","92",NA,"Ages_NA","2,","Box","NA","Retail","Small"
"195","21165","The Bee Farm","-",2021,NA,"90","Minecraft","238",NA,"Ages_8+","2,","Box","NA","Retail","Small"
"196","21166","The 'Abandoned' Mine","-",2021,NA,"100","Minecraft","248",NA,"Ages_7+","2","Box","NA","Retail","Small"
"197","21167","The Trading Post","416.28 Kr",2021,NA,"82","Minecraft","201",NA,"Ages_8+","3,","Box","NA","Retail","Small"
"198","21168","The Warped Forest","516.44 Kr",2021,NA,"93","Minecraft","287",NA,"Ages_8+","3,","Box","NA","Retail","Small"
"199","21169","The First Adventure","1194 Kr",2021,NA,"182","Minecraft","542",NA,"Ages_8+","4","Box","NA","Retail","Small"
"200","21170","The Pig House","524.71 Kr",2021,NA,"114","Minecraft","490",NA,"Ages_NA","2","Box","NA","Retail","Small"
"201","21171","The Horse Stable","412.15 Kr",2021,NA,"101","Minecraft","241",NA,"Ages_8+","2,","Box","NA","Retail","Small"
